description,category,service_id
water leaking from kitchen sink pipe joint under the cabinet,plumbing,1
tap dripping constantly water not stopping even when closed,plumbing,2
bathroom flush not working cistern not filling,plumbing,1
pipe burst in bathroom flooding the floor,plumbing,1
water pressure very low throughout house,plumbing,1
geyser not heating water properly,plumbing,1
drain clogged water not going away in washbasin,plumbing,1
toilet seat broken needs replacement,plumbing,2
leakage from overhead water tank,plumbing,1
kitchen tap faucet handle broken cannot operate,plumbing,2
bathroom mixer shower head leaking,plumbing,2
sewer smell coming from bathroom drain,plumbing,1
no electricity in bedroom lights not working at all,electrical,3
fan running slowly speed not changing,electrical,4
short circuit in switchboard keeps tripping,electrical,3
new ceiling fan installation required in hall,electrical,4
plug socket not working in kitchen,electrical,3
light bulb holder damaged needs replacement,electrical,3
power cut only in one room rest of house has power,electrical,3
inverter not charging battery replacement needed,electrical,3
split ac not cooling properly gas recharged needed,electrical,3
LED TV wall mount bracket installation,electrical,4
electric meter issue frequent tripping,electrical,3
geyser electric heating element not working,electrical,3
wooden door not closing properly warped frame,carpentry,5
cupboard hinge broken door hanging loosely,carpentry,5
bed frame broken leg cracked needs repair,carpentry,5
window frame cracked wood rotting,carpentry,5
kitchen cabinet drawer not sliding properly,carpentry,5
bookshelf collapsed needs reassembling,carpentry,5
wardrobe door off track keeps falling,carpentry,5
table wobbling legs uneven needs fixing,carpentry,5
sofa wooden frame cracked armrest damaged,carpentry,5
staircase railing loose unsafe,carpentry,5
deep cleaning entire flat two bedroom,cleaning,6
kitchen chimney cleaning oil grease buildup,cleaning,6
bathroom tiles scrubbing mold removal,cleaning,6
sofa carpet upholstery deep cleaning,cleaning,6
cockroach pest control entire house,cleaning,6
full house cleaning before moving in,cleaning,6
termite treatment wooden furniture,cleaning,6
water tank cleaning disinfection,cleaning,6
mosquito pest control dengue season,cleaning,6
post construction cleaning dust removal,cleaning,6
wall paint peeling needs repainting,painting,7
exterior wall whitewash needed,painting,7
interior rooms fresh coat emulsion paint,painting,7
water seepage stain on wall painting,painting,7
wood polish furniture varnish refresh,painting,7
gate rust removal and paint,painting,7
ceiling paint yellowed needs fresh coat,painting,7
ac unit servicing filter cleaning gas top up,hvac,3
split ac installation new unit,hvac,4
window ac not cooling compressor issue,hvac,3
exhaust fan kitchen not working,hvac,4
ceiling fan making noise bearing problem,electrical,4
refrigerator not cooling compressor sound,electrical,3
washing machine not draining water pump,electrical,3
microwave oven not heating magnetron issue,electrical,3
water leak from bathroom ceiling seeping down,plumbing,1
mixer tap kitchen dripping replacement needed,plumbing,2
underground pipe leakage water logging,plumbing,1
RO water purifier not filtering properly,plumbing,2
bathroom geyser leaking from bottom tank,plumbing,1
electric wiring check entire house safety audit,electrical,3
outdoor light garden lamp post installation,electrical,4
doorbell not ringing chime replacement,electrical,3
solar panel wiring connection,electrical,3
plywood partition wall installation office,carpentry,5
false ceiling gypsum board repair crack,carpentry,5
kitchen loft storage shelf installation,carpentry,5
wooden flooring plank replacement,carpentry,5
mosquito mesh window screen installation,carpentry,5
chimney cleaning kitchen exhaust service,cleaning,6
upholstery cleaning office chairs,cleaning,6
rats mice pest control,cleaning,6
marble floor polishing restoration,cleaning,6
swimming pool cleaning maintenance,cleaning,6
